record_id,record_type,timestamp,msisdn,cost,rating_status
0004d06e-3519-40a0-911a-0f7cab24e398,data,03:55:16,+212156116155,342.7344,rated
005610e6-fa5d-44b2-89bf-9662c23fecaf,voice,03:55:38,+212029448780,13.43,rated
00aad0a5-d165-4a6e-94b3-a56b8491302f,data,03:55:55,+212051517044,10.3005,rated
00e363a6-31f3-4fe2-a72c-f9501ed793a9,voice,03:55:53,+212104192265,19.12,rated
00f18e00-2fb9-4445-aa56-1a5f4f2672cf,voice,03:55:40,+212572114327,3.32,rated
00f53a3f-46cc-4615-8749-08fe44898ce7,voice,03:55:24,+212031717951,12.57,rated
01043be9-b172-4eed-8d68-4962bb39e552,data,03:55:52,+212410148649,296.398,rated
01b1fcc9-ea0e-44be-837e-09ed446c5f8f,data,03:55:16,+212333461044,389.594,rated
01b3ea9a-4988-4f19-8cb9-4d754216e2e4,voice,03:55:34,+212513507825,16.0,rated
01f6a899-9d9f-47b7-9ae8-f022e4458062,data,03:55:35,+212624328930,5.907,rated
0201e662-03b7-4a1d-94ae-3aa4bebbdeb7,data,03:55:17,+212856660171,111.1775,rated
021a68f2-1d0b-4dce-9751-1c0646f2e0b6,voice,03:55:47,+212016393310,80.4,rated
021bb593-2d3e-430c-a6a0-6922d822f2f8,voice,03:55:16,+212350948277,134.48,rated
02294816-6ba7-444f-ba9a-a95a213ee038,voice,03:55:44,+212729561277,151.2,rated
02699c6b-c150-4c8c-9c39-b6c8a3dd1308,data,03:55:24,+212827225571,41.8815,rated
02e6fd1e-6d4b-4599-b65c-8b702761e280,voice,03:56:03,+212765705445,7.43,rated
030f8cfe-30c6-4997-bf7c-446af45f6f0e,voice,03:55:49,+212031717951,12.56,rated
0318d359-6809-44b6-b814-4ccdb906c938,data,03:55:24,+212354173381,127.588,rated
032d0d28-d5d6-4aa0-a3b8-6b3853ae4644,data,03:55:25,+212289427733,9.779,rated
033053ec-581b-45b6-a842-146d93066e48,voice,03:55:42,+212302287267,80.8,rated
0353c1a4-0b69-4734-90cd-c6b0038a238b,voice,03:56:01,+212872236981,14.06,rated
038f4c28-2887-4c4d-8fe9-c740b8180c25,voice,03:55:22,+212238257337,70.16,rated
03a990d7-9cd4-4b69-af49-3ab54319163b,voice,03:55:57,+212614621394,6.03,rated
03d16869-a6e6-4b1d-8508-705dfb594e9a,voice,03:55:14,+212075672764,12.25,rated
03dbf63e-3c33-4dc7-a324-3a0aef2f4427,voice,03:55:12,+212827851049,12.46,rated
03df9276-05ac-4323-9212-6de46ef134a0,data,03:55:36,+212274752582,102.2795,rated
03f3ca38-026d-482f-a1e0-aaad2e27f88f,voice,03:55:10,+212827851049,6.37,rated
