record_id,error_reason,error_source,error_timestamp,original_data
ea799e37-4c7b-46ec-a4a8-4980439d17af,rejected,rating_engine,2025-06-10T03:56:09.000Z,"record_type:voice, msisdn:+212105533624, duration:1946, data_volume:"
7df1bbf5-cf99-4ce9-a1ea-bf29e6767789,unmatched,rating_engine,2025-06-10T03:56:09.000Z,"record_type:data, msisdn:+212640037188, duration:1914, data_volume:6370.5498046875"
64fe34e3-3df0-4f6f-9a41-87012f45cf52,rejected,rating_engine,2025-06-10T03:56:08.000Z,"record_type:voice, msisdn:+212615933277, duration:406, data_volume:"
330538ff-3a43-4f80-aafe-4c92b61cb20c,unmatched,rating_engine,2025-06-10T03:56:08.000Z,"record_type:voice, msisdn:+212900132600, duration:1635, data_volume:"
d73604e4-42c2-4cf6-bf34-d61f73365494,rejected,rating_engine,2025-06-10T03:56:08.000Z,"record_type:voice, msisdn:+212304466630, duration:1095, data_volume:"
2a20710b-3f70-402b-99c7-ae5aeb69e706,unmatched,rating_engine,2025-06-10T03:56:08.000Z,"record_type:voice, msisdn:+212814078215, duration:413, data_volume:"
2c8454dc-84f5-497b-9518-31573401186f,rejected,rating_engine,2025-06-10T03:56:07.000Z,"record_type:voice, msisdn:+212847757763, duration:1409, data_volume:"
f659c12d-f22c-42d5-9bb5-ea3c43743b37,unmatched,rating_engine,2025-06-10T03:56:07.000Z,"record_type:data, msisdn:+212272051839, duration:1967, data_volume:2145.199951171875"
99b68431-b2e9-4ce9-a0c7-9fde56baa0af,rejected,rating_engine,2025-06-10T03:56:06.000Z,"record_type:voice, msisdn:+212525273634, duration:235, data_volume:"
ab577334-1e78-4239-bc29-7f0d0f691e0b,rejected,rating_engine,2025-06-10T03:56:05.000Z,"record_type:voice, msisdn:+212939323065, duration:407, data_volume:"
5e780b3a-5429-4594-8d32-1eee130c1d6a,rejected,rating_engine,2025-06-10T03:56:05.000Z,"record_type:voice, msisdn:+212501827628, duration:1687, data_volume:"
3086b410-0086-4aed-a4eb-2cb1edb4d783,unmatched,rating_engine,2025-06-10T03:56:05.000Z,"record_type:voice, msisdn:+212919407839, duration:1649, data_volume:"
6f8949cc-ecc6-4a16-8c79-6462949ceae2,rejected,rating_engine,2025-06-10T03:56:04.000Z,"record_type:voice, msisdn:+212907820288, duration:1498, data_volume:"
d1f8e310-6214-4ab1-a730-1ff0347ab696,rejected,rating_engine,2025-06-10T03:56:04.000Z,"record_type:voice, msisdn:+212826606481, duration:436, data_volume:"
935cc699-9285-4e26-aefd-a12b2ca486f3,unmatched,rating_engine,2025-06-10T03:56:04.000Z,"record_type:data, msisdn:+212322088683, duration:417, data_volume:8545.1904296875"
3a4475d0-cbd7-4ccf-b599-18a5c6eb21fb,unmatched,rating_engine,2025-06-10T03:56:03.000Z,"record_type:voice, msisdn:+212862278181, duration:1867, data_volume:"
ed2ec2b7-eefb-4b0d-b0be-47cb71de50d0,unmatched,rating_engine,2025-06-10T03:56:03.000Z,"record_type:sms, msisdn:+212096221768, duration:, data_volume:"
69ee0e0f-eeec-476f-a392-774c7b9ce1a4,rejected,rating_engine,2025-06-10T03:56:03.000Z,"record_type:sms, msisdn:+212577727612, duration:, data_volume:"
7e52045a-a6cc-4033-9af9-cabd92b7ed69,rejected,rating_engine,2025-06-10T03:56:02.000Z,"record_type:voice, msisdn:+212526024917, duration:1484, data_volume:"
e4cf6b0c-945d-4040-9cbc-fb996e65f798,rejected,rating_engine,2025-06-10T03:56:01.000Z,"record_type:voice, msisdn:+212996731632, duration:308, data_volume:"
d0e4f005-0e31-40d0-a72d-18c2147634ed,unmatched,rating_engine,2025-06-10T03:56:01.000Z,"record_type:data, msisdn:+212345416439, duration:2234, data_volume:2346.6298828125"
f1f28cef-d08e-4431-9009-a62cabf1f879,unmatched,rating_engine,2025-06-10T03:55:59.000Z,"record_type:data, msisdn:+212860110132, duration:2693, data_volume:8176.97998046875"
a4ab4939-de91-4cb6-9989-649ac8dffc12,rejected,rating_engine,2025-06-10T03:55:59.000Z,"record_type:voice, msisdn:+212478033455, duration:801, data_volume:"
18f40043-9ad4-4029-ac0e-2e327730522a,unmatched,rating_engine,2025-06-10T03:55:57.000Z,"record_type:voice, msisdn:+212875946287, duration:1947, data_volume:"
d0e6f7dc-f120-42f2-94fe-4795401a4a9b,rejected,rating_engine,2025-06-10T03:55:57.000Z,"record_type:voice, msisdn:+212027391859, duration:1157, data_volume:"
927c6403-0e07-4960-be0b-bf13c20606d8,rejected,rating_engine,2025-06-10T03:55:57.000Z,"record_type:voice, msisdn:+212586524327, duration:1897, data_volume:"
598b7c98-207e-4aa4-9f4b-24f3c57522d2,rejected,rating_engine,2025-06-10T03:55:56.000Z,"record_type:voice, msisdn:+212899074611, duration:1044, data_volume:"
b6f505c5-1714-4409-b6de-d31de5705247,rejected,rating_engine,2025-06-10T03:55:56.000Z,"record_type:sms, msisdn:+212922824907, duration:, data_volume:"
45c7e3df-e435-4a31-a1e7-45883880167e,rejected,rating_engine,2025-06-10T03:55:55.000Z,"record_type:voice, msisdn:+212581403540, duration:1759, data_volume:"
6245542c-d2b8-4d83-875f-6893f929f8ef,rejected,rating_engine,2025-06-10T03:55:53.000Z,"record_type:voice, msisdn:+212096737359, duration:911, data_volume:"
32f09001-11cf-432e-b265-6a32a6a9f185,rejected,rating_engine,2025-06-10T03:55:53.000Z,"record_type:voice, msisdn:+212564154882, duration:1595, data_volume:"
66f64478-6781-4787-9c42-0a52c2d2b154,rejected,rating_engine,2025-06-10T03:55:53.000Z,"record_type:voice, msisdn:+212380507717, duration:1872, data_volume:"
5cf7c588-81ea-4b52-8f62-6f02229d08bb,rejected,rating_engine,2025-06-10T03:55:52.000Z,"record_type:voice, msisdn:+212939319428, duration:1106, data_volume:"
c082369a-e2e4-4ca5-af63-d6ac3e994ab5,rejected,rating_engine,2025-06-10T03:55:52.000Z,"record_type:voice, msisdn:+212240667538, duration:454, data_volume:"
6252ebdb-b5e6-4b4d-93ab-ba8ec74464b3,rejected,rating_engine,2025-06-10T03:55:52.000Z,"record_type:voice, msisdn:+212479797852, duration:539, data_volume:"
05048e28-5f7a-4436-87dc-cfa57ce5b538,rejected,rating_engine,2025-06-10T03:55:51.000Z,"record_type:voice, msisdn:+212975411150, duration:784, data_volume:"
